 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
98,19-Aug,640000,4663700,2.4,1,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
99,19-Aug,639900,4663700,7.7,1,T,T,T,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
100,19-Aug,639700,4663700,2.6,0.9,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
101,19-Aug,639700,4663800,3.5,0.9,M,M,S,S,M,Z,Z,S,T,Z,Z,T,Z,Z,Z,Z,Z
102,19-Aug,640700,4663800,3.3,1,S,T,S,T,Z,Z,Z,S,Z,Z,T,Z,Z,Z,Z,Z,Z
103,19-Aug,640800,4663800,2.9,1,S,S,T,T,T,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z
104,19-Aug,641200,4663800,4.7,1,S,S,S,Z,T,Z,Z,S,T,Z,T,Z,Z,Z,Z,Z,Z
105,19-Aug,641200,4663900,2.9,1.4,S,S,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
106,19-Aug,641100,4663900,2.8,1.2,S,S,T,Z,T,Z,Z,T,T,Z,Z,Z,Z,Z,Z,Z,Z
107,19-Aug,641000,4663900,3.4,1,S,S,S,Z,T,Z,Z,T,S,Z,Z,T,Z,Z,Z,Z,S
108,19-Aug,640600,4663900,3.2,1,T,T,Z,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
109,19-Aug,640500,4663900,2.9,1,S,S,S,Z,S,Z,Z,S,T,Z,T,Z,Z,Z,Z,Z,Z
110,19-Aug,640300,4663900,4.6,1,S,S,T,Z,T,Z,Z,T,S,S,T,Z,Z,Z,Z,Z,Z
